[0, -1, -1][0, -1, -1][0, -1, -1][0, -1, -1][0, -1, -1][0, 6, -1][0, 3, -1][0, -1, -1]

[0, -1, -1][0, 24, -1][0, 7, -1][0, -1, -1][0, -1, 3][1, -1, -1][1, -1, -1][0, -1, -1]

[0, -1, 10][1, -1, -1][1, -1, -1][0, 4, -1][0, 29, 4][1, -1, -1][1, -1, -1][0, -1, -1]

[0, -1, 23][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][0, -1, -1][0, -1, -1]

[0, -1, 16][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][0, 4, -1][0, 24, -1][0, 7, -1]

[0, -1, -1][0, -1, -1][0, -1, -1][0, 23, 20][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1]

[0, -1, -1][0, -1, -1][0, 16, 28][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1]

[0, -1, -1][0, -1, 16][1, -1, -1][1, -1, -1][0, -1, -1][0, -1, 12][1, -1, -1][1, -1, -1]

[0, -1, -1][0, -1, 15][1, -1, -1][1, -1, -1][0, -1, -1][0, -1, -1][0, -1, -1][0, -1, -1]




[0, -1, -1][0, -1, -1][0, 38, -1][0, 29, -1][0, 3, -1][0, 6, -1][0, -1, -1][0, -1, -1]

[0, -1, -1][0, -1, 14][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][0, -1, -1][0, -1, -1]

[0, -1, -1][0, -1, 17][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][0, 21, -1][0, -1, -1]

[0, -1, -1][0, 3, 15][1, -1, -1][1, -1, -1][0, -1, 4][1, -1, -1][1, -1, -1][0, 16, -1]

[0, -1, 18][1, -1, -1][1, -1, -1][1, -1, -1][0, -1, -1][0, 29, 9][1, -1, -1][1, -1, -1]

[0, -1, 11][1, -1, -1][1, -1, -1][0, 24, -1][0, -1, 21][1, -1, -1][1, -1, -1][1, -1, -1]

[0, -1, -1][0, -1, 11][1, -1, -1][1, -1, -1][0, 4, 9][1, -1, -1][1, -1, -1][0, -1, -1]

[0, -1, -1][0, -1, -1][0, -1, 20][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][0, -1, -1]

[0, -1, -1][0, -1, -1][0, -1, 24][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][0, -1, -1]




[0, -1, -1][0, -1, -1][0, -1, -1][0, -1, -1][0, -1, -1][0, 7, -1][0, 29, -1][0, -1, -1]

[0, -1, -1][0, -1, -1][0, 29, -1][0, 23, -1][0, -1, 12][1, -1, -1][1, -1, -1][0, -1, -1]

[0, -1, -1][0, -1, 14][1, -1, -1][1, -1, -1][0, -1, 7][1, -1, -1][1, -1, -1][0, 17, -1]

[0, -1, -1][0, -1, 15][1, -1, -1][1, -1, -1][0, 3, 13][1, -1, -1][1, -1, -1][1, -1, -1]

[0, -1, -1][0, 17, 14][1, -1, -1][1, -1, -1][1, -1, -1][0, 24, 13][1, -1, -1][1, -1, -1]

[0, -1, 12][1, -1, -1][1, -1, -1][0, 23, 12][1, -1, -1][1, -1, -1][1, -1, -1][0, -1, -1]

[0, -1, 15][1, -1, -1][1, -1, -1][1, -1, -1][0, -1, 9][1, -1, -1][1, -1, -1][0, -1, -1]

[0, -1, -1][0, -1, 11][1, -1, -1][1, -1, -1][0, -1, 13][1, -1, -1][1, -1, -1][0, -1, -1]

[0, -1, -1][0, -1, 12][1, -1, -1][1, -1, -1][0, -1, -1][0, -1, -1][0, -1, -1][0, -1, -1]




[0, -1, -1][0, -1, -1][0, -1, -1][0, 3, -1][0, 17, -1][0, -1, -1][0, -1, -1][0, -1, -1]

[0, -1, -1][0, 16, -1][0, 4, 11][1, -1, -1][1, -1, -1][0, 23, -1][0, -1, -1][0, -1, -1]

[0, -1, 28][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][0, 4, -1][0, -1, -1]

[0, -1, 10][1, -1, -1][1, -1, -1][0, -1, -1][0, 16, 11][1, -1, -1][1, -1, -1][0, -1, -1]

[0, -1, -1][0, -1, -1][0, 4, -1][0, 6, 14][1, -1, -1][1, -1, -1][1, -1, -1][0, -1, -1]

[0, -1, -1][0, -1, 13][1, -1, -1][1, -1, -1][1, -1, -1][0, -1, -1][0, 17, -1][0, 16, -1]

[0, -1, -1][0, -1, 5][1, -1, -1][1, -1, -1][0, 17, -1][0, 4, 17][1, -1, -1][1, -1, -1]

[0, -1, -1][0, -1, -1][0, -1, 28][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1]

[0, -1, -1][0, -1, -1][0, -1, -1][0, -1, 10][1, -1, -1][1, -1, -1][0, -1, -1][0, -1, -1]




[0, -1, -1][0, 3, -1][0, 4, -1][0, 17, -1][0, -1, -1][0, 30, -1][0, 17, -1][0, -1, -1]

